Region,Subject,Session,Neuron,State,FR
Somatosensory,15,15.1,37,Moving,9.188741607
Somatosensory,15,15.1,38,SWD,1.083329756
Somatosensory,15,15.1,38,Still,1.910115989
Somatosensory,15,15.1,38,Moving,2.286625441
Somatosensory,15,15.1,39,SWD,0.8183091718
Somatosensory,15,15.1,39,Still,1.178428069
Somatosensory,15,15.1,39,Moving,0.2408301402
Somatosensory,15,15.1,40,SWD,3.06400991
Somatosensory,15,15.1,40,Still,2.434935047
Somatosensory,15,15.1,40,Moving,3.805368394
Somatosensory,15,15.1,41,SWD,11.19130782
Somatosensory,15,15.1,41,Still,21.19641144
Somatosensory,15,15.1,41,Moving,22.12232885
Somatosensory,15,15.1,42,SWD,7.160205253
Somatosensory,15,15.1,42,Still,5.423666893
Somatosensory,15,15.1,42,Moving,4.08780793
Somatosensory,15,15.1,43,SWD,4.221731409
Somatosensory,15,15.1,43,Still,2.417226429
Somatosensory,15,15.1,43,Moving,1.507394935
Somatosensory,15,15.1,44,SWD,9.489596702
Somatosensory,15,15.1,44,Still,7.816745205
Somatosensory,15,15.1,44,Moving,7.388820009
Somatosensory,15,15.1,45,SWD,2.808288294
Somatosensory,15,15.1,45,Still,1.42312898
Somatosensory,15,15.1,45,Moving,1.742551067
Somatosensory,15,15.1,46,SWD,3.519659335
Somatosensory,15,15.1,46,Still,5.665952991
Somatosensory,15,15.1,46,Moving,8.02367852
Somatosensory,15,15.1,47,SWD,0.4138040698
Somatosensory,15,15.1,47,Still,0.500670942
Somatosensory,15,15.1,47,Moving,0.1311326418
Caudoputamen,15,15.1,48,SWD,1.720309054
Caudoputamen,15,15.1,48,Still,0.5956535323
Caudoputamen,15,15.1,48,Moving,0.133023978
Caudoputamen,15,15.1,49,SWD,7.648401066
Caudoputamen,15,15.1,49,Still,9.390397443
Caudoputamen,15,15.1,49,Moving,13.88682068
Caudoputamen,15,15.1,50,SWD,4.951700386
Caudoputamen,15,15.1,50,Still,5.440570574
Caudoputamen,15,15.1,50,Moving,13.12209042
Caudoputamen,15,15.1,51,SWD,3.19419546
Caudoputamen,15,15.1,51,Still,0.2760934616
Caudoputamen,15,15.1,51,Moving,1.479024893
Somatosensory,15,15.1,52,SWD,0.9531442058
Somatosensory,15,15.1,52,Still,1.221894678
Somatosensory,15,15.1,52,Moving,0.04854429528
Somatosensory,15,15.1,53,SWD,0.8973503986
Somatosensory,15,15.1,53,Still,3.81701223
Somatosensory,15,15.1,53,Moving,0.5585746184
Somatosensory,15,15.1,54,SWD,0.6555772342
Somatosensory,15,15.1,54,Still,1.611484286
Somatosensory,15,15.1,54,Moving,1.834596094
Somatosensory,15,15.1,55,SWD,6.988174348
Somatosensory,15,15.1,55,Still,13.2122393
Somatosensory,15,15.1,55,Moving,50.62602597
Somatosensory,15,15.1,56,SWD,5.133030259
Somatosensory,15,15.1,56,Still,2.636974286
Somatosensory,15,15.1,56,Moving,9.352026964
Somatosensory,15,15.1,57,SWD,0.3394123269
Somatosensory,15,15.1,57,Still,0.1778911225
Somatosensory,15,15.1,57,Moving,0.7407733371
Somatosensory,15,15.1,58,SWD,4.444906638
Somatosensory,15,15.1,58,Still,10.80789186
Somatosensory,15,15.1,58,Moving,48.56068686
Hipp,16,16.1,59,SWD,28.28939662
Hipp,16,16.1,59,Still,16.89638872
Hipp,16,16.1,59,Moving,34.32877691
Hipp,16,16.1,60,SWD,29.97540207
Hipp,16,16.1,60,Still,29.25301808
Hipp,16,16.1,60,Moving,33.34610012
Hipp,16,16.1,61,SWD,9.636852175
Hipp,16,16.1,61,Still,5.205407659
Hipp,16,16.1,61,Moving,16.55494854
Visual,16,16.1,62,SWD,16.06142029
